names,scores,logfoldchanges,pvals,pvals_adj
WSB1,2.854067,0.5494303,0.00431634150088446,0.21727498826393665
ZFAND5,2.851492,0.5963041,0.004351458242516294,0.21788373057170873
HPCAL1,2.8429084,1.0921978,0.004470392610253471,0.2214950809797577
CALM2,2.8334663,0.47229758,0.004604616219364279,0.22636771736079928
PAG1,2.832322,1.1857231,0.004621131356383812,0.2265910704204052
NFKBIZ,2.8097181,0.73164433,0.004958489818640191,0.24168720493090154
ERP44,2.8077154,0.73824114,0.004989431166215399,0.24214093252040733
DAZAP2,2.8062847,0.47589552,0.005011638907571578,0.24259664860257613
RNF130,2.7968426,0.45186675,0.005160465290227962,0.24916358813302206
HLA-B,2.788259,0.37557706,0.005299215477032616,0.2545640896796861
APOL6,2.786256,1.5050482,0.005332071524061026,0.25549396895165327
CRIP1,2.7668,0.7933861,0.005660949431175033,0.26853330797957353
TMEM219,2.7381878,0.5322586,0.0061778809910167055,0.29086754606212234
RPN1,2.7321792,0.75364554,0.00629169266289819,0.29505481810291373
RNH1,2.7310345,0.50741726,0.006313583839577326,0.29505481810291373
PGD,2.727315,0.80226207,0.006385204417738749,0.2976669064397569
PLSCR1,2.7230232,0.6009039,0.006468751367876792,0.30082077921327777
UBXN11,2.7144396,1.1744806,0.006638801594339885,0.3064697506733439
CALM1,2.7101476,0.40214288,0.0067253248905107515,0.30895685486091506
PNRC1,2.706142,0.5512274,0.006806993054510544,0.3119514710477508
TSC22D3,2.6998472,0.43773958,0.006937130318709044,0.3171475013096765
C4orf3,2.694125,0.5429652,0.0070573716480729675,0.320323436889873
SAT1,2.6918359,0.39315867,0.007105989859954017,0.3217585408596882
DMXL2,2.6878302,0.7458932,0.00719179574207364,0.3233233206893772
VAMP5,2.6861134,0.77533513,0.007228853525411069,0.32421921961008365
FLNA,2.6841106,0.88470906,0.00727230413331364,0.3253969274969911
CKAP4,2.6806772,2.3328574,0.0073473363979332604,0.3272071435380772
QKI,2.678102,0.7556983,0.0074040655917426285,0.32895950576270594
COX5B,2.6735241,0.41703328,0.0075058883141473475,0.3327024546179551
GABARAP,2.6580734,0.7789684,0.00785887493031662,0.3459184321072155
NDUFV2,2.6557846,0.4817489,0.007912415192800898,0.34746701242260464
FAM200B,2.652065,1.2568206,0.008000115163595592,0.3488898149801239
APP,2.6348977,0.83643925,0.008416266266999577,0.36285802194874944
RPS26,2.6274586,0.40254316,0.00860253459262731,0.37004584598785706
SMPDL3A,2.62145,1.4714966,0.008755663244585037,0.373239725743831
CRYL1,2.610005,1.2466898,0.00905408962673811,0.38509383003431963
RAB10,2.6088605,0.6381674,0.009084426138138304,0.38551778815368537
UBE2D3,2.6065714,0.36556265,0.00914537153542783,0.3863715335960771
ETF1,2.6045687,0.74528825,0.009198997870875619,0.38777156503800186
RAB13,2.6025658,1.0802798,0.009252904682746851,0.3891771709563326
NCF2,2.5997045,0.69565266,0.00933040343292118,0.3915666203434572
RBP7,2.593124,2.4249446,0.009510852430409207,0.3973772714135873
MT-CO2,2.5853984,0.17029719,0.009726650120459195,0.4037199711182701
CD36,2.57939,0.7860216,0.00989749874992748,0.40846448106063454
SLIRP,2.579104,0.6071325,0.009905700681926944,0.40846448106063454
ADGRE5,2.5739536,0.7297466,0.010054374507418069,0.41279641280239
MT-ND3,2.5662284,0.21268764,0.010281112230461546,0.42028209759383517
PNPLA2,2.5527806,1.1801108,0.01068667872299089,0.43311941796584275
CAPNS1,2.5510638,0.6767334,0.010739464066622044,0.43340263622378555
WTAP,2.5450554,0.8637991,0.010926042898105304,0.4381296905348286
USP3,2.5401912,0.9005928,0.011079186974806634,0.44333144159020116
CCRL2,2.5364716,1.4746531,0.01119758075837842,0.44618233897648074
RPS4Y1,2.5313215,0.7406781,0.011363365276348502,0.45183700543161365
CD53,2.525313,0.44977856,0.011559531752425344,0.45771392777856584
P2RX4,2.5227377,1.12211,0.011644518988081434,0.459157939348786
SIPA1L1,2.5098624,0.88409156,0.012077824622383637,0.47328568660011405
SOCS3,2.50414,0.673693,0.01227494985995012,0.47804110287916857
RETN,2.5004203,1.924182,0.012404604797849989,0.4820984702441617
ZFP36L2,2.4981313,0.5628447,0.012484994005514075,0.48323820356311836
PKM,2.4941256,0.40030643,0.01262678572220838,0.48673558729987376
PPP1R15A,2.4875448,0.5340507,0.012862825565389589,0.491827675709351
CDKN1A,2.4875448,0.739248,0.012862825565389589,0.491827675709351
VSIG4,2.4766722,0.7155004,0.013261365353445454,0.5050258793655173
LAMP1,2.4700913,0.7042092,0.013507855445908672,0.5133798795676977
SERF2,2.468947,0.27395946,0.013551134091062188,0.5139926151132946
ATP6V0E1,2.4637966,0.3798161,0.013747407677415613,0.5191560326327379
MIEN1,2.462366,0.7890942,0.013802371788566149,0.5191560326327379
SERINC1,2.459791,0.79213184,0.013901796358407343,0.521028316189259
SAT2,2.4543545,0.7033177,0.014113771457679948,0.5279275738725462
UBE2B,2.446057,0.58760715,0.014442812594386047,0.5370513044674748
JAK1,2.436329,0.4993517,0.014837184892278204,0.5431787204180843
ITGB2,2.4140115,0.43875813,0.015777967311318652,0.5655863395858487
MPP1,2.4114363,1.0494463,0.015889825805934336,0.5685193441000362
SNX6,2.3994193,0.6759783,0.016421103061769155,0.5831186072234611
LILRB1,2.3959858,0.7103461,0.016575734951536077,0.5853151780367973
PRDX3,2.3936968,0.46322447,0.016679531969529,0.5878836156187623
SERINC3,2.3908355,0.84400135,0.0168100804957639,0.5913199699790468
KLF4,2.3899772,0.5879296,0.016849419563938196,0.5913199699790468
RIN2,2.389119,1.2359409,0.0168888394180693,0.5913199699790468
MCL1,2.3888328,0.34546942,0.016901997345520385,0.5913199699790468
TNFSF13,2.3742404,1.8659805,0.017585093628976995,0.6073596115249044
HCLS1,2.371093,0.35680568,0.017735561608231136,0.6114407551165587
UGP2,2.3630817,0.7065169,0.018123672995439603,0.6225531012426232
PNP,2.361365,1.1612862,0.018207800827285025,0.6243098664094632
GBP5,2.3599343,1.5154867,0.018278168350925925,0.6255893171391953
TPI1,2.351923,0.32204482,0.018676642942472156,0.6346370214940225
RNF144B,2.3493478,0.78143287,0.018806328069381466,0.636757372753458
MT1F,2.3433392,1.2052745,0.019111993798741685,0.6447998335628946
GHITM,2.3421948,0.47748426,0.019170705724418556,0.6456297993702313
SAP30,2.3261719,0.824911,0.020009378166287107,0.6702964611563117
TKT,2.3161578,0.40617925,0.020549659656630696,0.6835560778928808
CASP4,2.293268,0.6984973,0.021832583687389266,0.7174050546028067
DRAM1,2.2918372,1.3147926,0.021915031578282312,0.7188662091545049
TNFAIP2,2.2898345,0.5470215,0.022030913676208214,0.7214171334768043
DDX5,2.284398,0.35002902,0.02234814164217344,0.7292815118300289
CCDC69,2.2826815,1.0242435,0.022449140578157927,0.7300599376680328
CPM,2.2803924,0.89018965,0.022584422924163024,0.7319441313110164
MYOF,2.272381,1.590117,0.023063506173761524,0.7411256050098206
SPPL2A,2.270092,0.7075179,0.023201998056149534,0.7443122325571903
IL1RN,2.2666585,1.3109705,0.0234110896416215,0.7472203940083813
STX11,2.264942,0.84590304,0.02351624739420988,0.7491717253932109
PXN,2.258361,1.4589258,0.023923158589748052,0.7532703613120534
LST1,2.258075,0.37264922,0.023940988060463467,0.7532703613120534
FAM204A,2.2474885,0.83149606,0.024608829840467066,0.7673333153056345
PLXDC2,2.2434828,0.6462259,0.024865703485086838,0.7739430129784299
APOBEC3A,2.2429104,1.6579524,0.024902588624920157,0.7739430129784299
OXA1L,2.2354712,0.5716524,0.025386424080779783,0.7848717943160191
HSBP1,2.2191622,0.4295881,0.026475682125331797,0.8056354269873874
SMAP2,2.2128677,0.44360778,0.02690677116749512,0.8148231326194882
LILRA1,2.2094343,1.1703278,0.02714445499754033,0.8205999972750417
SCPEP1,2.2048562,0.52328414,0.027464184102626958,0.8264143283154538
CLTA,2.2002783,0.4134937,0.027787156802638657,0.8334825939834261
IRS2,2.1977031,0.9343391,0.027970264134319363,0.8369344020577344
DGUOK,2.1939836,0.6335495,0.028236588354569384,0.8406341659125818
CDA,2.1934114,2.0358403,0.0282777546521915,0.8406341659125818
NBN,2.192267,0.80722314,0.028360242407856597,0.8406341659125818
SH3GLB1,2.1919808,0.53871304,0.028380896709364386,0.8406341659125818
SFT2D1,2.1908362,0.47458437,0.02846364355879617,0.8417677838083361
COX4I1,2.1828249,0.30992737,0.029048711325500895,0.8563940175354446
MSN,2.1813943,0.47471097,0.029154269709362666,0.8581693044931683
LRRFIP1,2.1653714,0.41140032,0.030359254319303662,0.8792417762688246
CCL20,2.1650853,1.9963582,0.030381155052560435,0.8792417762688246
C18orf32,2.157074,1.1178745,0.03099990972030586,0.890982255590737
MEGF9,2.1567876,1.0141673,0.031022206711803012,0.890982255590737
IFI30,2.1510653,0.56224114,0.031471045824270745,0.8997771666404417
ZYX,2.150207,0.4369191,0.03153884984753565,0.9003556727968435
RNF141,2.1473458,0.9758701,0.03176576892546959,0.9041063284997939
TMBIM4,2.145915,0.50769514,0.031879752476799375,0.905988100793366
ARPC3,2.1424816,0.25099662,0.032154744495853906,0.9124330570809999
BNIP2,2.1359007,0.58408517,0.032687497592305534,0.9233974133277117
TRIM8,2.1321812,0.84175736,0.03299194940164425,0.9277346333216726
GNG5,2.124742,0.31554917,0.03360814050299019,0.932699817155565
SULT1A1,2.1218808,0.8726196,0.033847744485854585,0.9366027191283184
PELI1,2.1201642,0.6884253,0.03399220680230177,0.9391896867091936
METTL9,2.117303,0.6215197,0.03423414865570056,0.9431582701694972
NRGN,2.108433,2.1806319,0.03499354203640987,0.9584372812363186
COX20,2.1075747,0.8789691,0.03506778916336198,0.9584372812363186
NUMB,2.0995634,0.5982006,0.03576727062529306,0.9740534260790239
